λ,T,Optical Density
1400,2.72971e-06,5.56388
1399,2.4143600000000003e-06,5.6172
1398,1.8837500000000002e-06,5.72498
1397,3.28593e-06,5.48334
1396,2.64927e-06,5.57687
1395,2.9154700000000003e-06,5.53529
1394,2.8628099999999998e-06,5.54321
1393,1.56742e-06,5.80481
1392,2.58372e-06,5.58775
1391,2.7713e-06,5.55732
1390,3.42063e-06,5.46589
1389,3.7402699999999996e-06,5.4271
1388,2.9439e-06,5.53108
1387,2.2926000000000003e-06,5.63967
1386,3.84206e-06,5.41544
1385,2.64157e-06,5.57814
1384,3.12571e-06,5.50505
1383,2.0506e-06,5.68812
1382,3.23117e-06,5.49064
1381,1.44439e-06,5.84032
1380,2.21727e-06,5.65418
1379,2.37903e-06,5.6236
1378,3.69875e-06,5.43194
1377,2.6329899999999998e-06,5.57955
1376,3.0873199999999998e-06,5.51042
1375,3.01977e-06,5.52003
1374,3.30541e-06,5.48078
1373,2.40222e-06,5.61939
1372,3.3755599999999997e-06,5.47165
1371,2.3043200000000002e-06,5.63746
1370,2.13258e-06,5.6711
1369,3.26268e-06,5.48642
1368,2.75818e-06,5.55938
1367,3.31748e-06,5.47919
1366,2.76131e-06,5.55888
1365,3.07094e-06,5.51273
1364,2.6256800000000004e-06,5.58076
1363,2.7253e-06,5.56459
1362,3.36597e-06,5.47289
1361,3.7268e-06,5.42866
1360,1.8718900000000002e-06,5.72772
1359,2.40556e-06,5.61878
1358,2.6852100000000004e-06,5.57102
1357,2.68622e-06,5.57086
1356,1.90495e-06,5.72012
1355,2.19915e-06,5.65775
1354,3.1108600000000003e-06,5.50712
1353,1.8329800000000002e-06,5.73684
1352,2.32431e-06,5.63371
1351,2.6814e-06,5.57164
1350,2.45955e-06,5.60915
1349,2.97509e-06,5.5265
1348,2.31635e-06,5.6352
1347,3.28302e-06,5.48373
1346,2.98404e-06,5.5252
1345,1.93721e-06,5.71282
1344,3.5075e-06,5.455
1343,2.36665e-06,5.62587
1342,3.4881700000000004e-06,5.4574
1341,2.56351e-06,5.59117
1340,2.5260199999999997e-06,5.59756
1339,1.7776000000000001e-06,5.75017
1338,1.57472e-06,5.8028
1337,3.0066400000000004e-06,5.52192
1336,2.44653e-06,5.61145
1335,3.23692e-06,5.48987
1334,3.29213e-06,5.48252
1333,3.01352e-06,5.52093
1332,3.59225e-06,5.44463
1331,2.66692e-06,5.57399
1330,2.34067e-06,5.63066
1329,3.0998100000000002e-06,5.50867
1328,2.58448e-06,5.58763
1327,2.76773e-06,5.55788
1326,3.17121e-06,5.49877
1325,2.15379e-06,5.6668
1324,3.03037e-06,5.5185
1323,2.7131300000000003e-06,5.56653
1322,2.11391e-06,5.67491
1321,2.10673e-06,5.67639
1320,2.48902e-06,5.60397
1319,2.6383800000000003e-06,5.57866
1318,3.52106e-06,5.45333
1317,2.70531e-06,5.56778
1316,2.3237900000000002e-06,5.6338
1315,3.24397e-06,5.48892
1314,2.37963e-06,5.62349
1313,2.9665900000000003e-06,5.52774
1312,3.2464199999999997e-06,5.4886
1311,3.03817e-06,5.51739
1310,2.79407e-06,5.55376
1309,3.00402e-06,5.5223
1308,3.48605e-06,5.45767
1307,1.3745700000000002e-06,5.86183
1306,2.85293e-06,5.54471
1305,3.6098599999999997e-06,5.44251
1304,2.4494000000000002e-06,5.61094
1303,2.76211e-06,5.55876
1302,3.69597e-06,5.43227
1301,2.5518399999999997e-06,5.59315
1300,4.05267e-06,5.39226
1299,3.05194e-06,5.51542
1298,2.02819e-06,5.69289
1297,1.73987e-06,5.75948
1296,3.00439e-06,5.52224
1295,2.30937e-06,5.63651
1294,3.1491e-06,5.50181
1293,3.1420299999999997e-06,5.50279
1292,3.7329900000000002e-06,5.42794
1291,3.1673500000000003e-06,5.4993
1290,2.11443e-06,5.67481
1289,4.00438e-06,5.39747
1288,2.67889e-06,5.57204
1287,2.6839600000000002e-06,5.57122
1286,3.1589e-06,5.50046
1285,3.85234e-06,5.41428
1284,2.79239e-06,5.55402
1283,1.87049e-06,5.72804
1282,3.68768e-06,5.43325
1281,2.31323e-06,5.63578
1280,2.56882e-06,5.59027
1279,3.6239200000000003e-06,5.44082
1278,2.86523e-06,5.54284
1277,2.55332e-06,5.59289
1276,2.66901e-06,5.57365
1275,3.908970000000001e-06,5.40794
1274,3.56399e-06,5.44806
1273,3.3649599999999997e-06,5.47302
1272,2.23182e-06,5.65134
1271,2.02649e-06,5.69326
1270,3.4653100000000004e-06,5.46026
1269,2.93842e-06,5.53189
1268,2.76283e-06,5.55865
1267,1.8607699999999998e-06,5.73031
1266,2.54396e-06,5.59449
1265,2.28464e-06,5.64118
1264,2.6774299999999995e-06,5.57228
1263,2.5221400000000002e-06,5.59823
1262,3.15863e-06,5.5005
1261,2.37537e-06,5.62427
1260,2.09585e-06,5.67864
1259,2.26647e-06,5.64465
1258,2.5528999999999997e-06,5.59297
1257,2.69036e-06,5.57019
1256,3.7482e-06,5.42618
1255,2.83858e-06,5.5469
1254,3.22509e-06,5.49146
1253,2.7185300000000003e-06,5.56567
1252,3.11601e-06,5.5064
1251,2.4178e-06,5.61658
1250,2.5458899999999998e-06,5.59416
1249,2.5122399999999997e-06,5.59994
1248,2.2092400000000002e-06,5.65576
1247,2.97072e-06,5.52714
1246,2.87121e-06,5.54194
1245,2.8391400000000003e-06,5.54681
1244,3.9402e-06,5.40448
1243,1.7322e-06,5.7614
1242,2.6833800000000003e-06,5.57132
1241,3.934930000000001e-06,5.40506
1240,2.23424e-06,5.65087
1239,2.61803e-06,5.58203
1238,2.5551099999999997e-06,5.59259
1237,3.37266e-06,5.47203
1236,3.0798700000000004e-06,5.51147
1235,2.51208e-06,5.59997
1234,2.17836e-06,5.66187
1233,2.83647e-06,5.54722
1232,2.9312400000000002e-06,5.53295
1231,3.31707e-06,5.47925
1230,3.3528600000000003e-06,5.47458
1229,2.3789500000000003e-06,5.62361
1228,2.96872e-06,5.52743
1227,2.24924e-06,5.64796
1226,3.76191e-06,5.42459
1225,2.88795e-06,5.53941
1224,3.27955e-06,5.48419
1223,2.14831e-06,5.6679
1222,2.5435699999999997e-06,5.59456
1221,2.64034e-06,5.57834
1220,3.50194e-06,5.45569
1219,3.63169e-06,5.43989
1218,2.9333499999999996e-06,5.53264
1217,3.4771500000000002e-06,5.45878
1216,2.6561199999999996e-06,5.57575
1215,2.1272500000000003e-06,5.67218
1214,2.93076e-06,5.53302
1213,2.76755e-06,5.5579
1212,3.29692e-06,5.48189
1211,2.82177e-06,5.54948
1210,2.0315e-06,5.69218
1209,3.04998e-06,5.5157
1208,2.7233200000000004e-06,5.5649
1207,2.70664e-06,5.56757
